# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 29 05:01:23 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [percent]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [percent]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [days]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [days]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_occdep:      Occultation Depth [percentage]
# COLUMN pl_occdeperr1:  Occultation Depth Upper Unc. [percentage]
# COLUMN pl_occdeperr2:  Occultation Depth Lower Unc. [percentage]
# COLUMN pl_occdeplim:   Occultation Depth Limit Flag
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
# COLUMN st_sperr:       Spectral Type Unc.
# COLUMN st_splim:       Spectral Type Limit Flag
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_vjerr:       V-band (Johnson) Unc. [mag]
# COLUMN st_vjlim:       V-band (Johnson) Limit Flag
#
loc_rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_pelink,st_sp,st_spstr,st_sperr,st_splim,st_vj,st_vjerr,st_vjlim
612,HD 38801,b,1,696.29999000,2.70000000,-2.70000000,0,1.650000,0.030000,-0.030000,0,0.000000,,,0,,,,0,12.12000,0.79000,-0.79000,0,,,,0,,,,0,05h47m59.18s,86.996567,-08d19m39.7s,-8.327700,99.40,14.66,-20.79,0,8.269,0.013,0,V (Johnson),7.973,,0,5277.00,27.00,-27.00,0,1.64,0.15,-0.15,0,2.38,0.07,-0.07,0,2018-04-26,12.12000,0.79000,-0.79000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_38801_b/,4.80,G8 IV,,0,8.269,0.013,0
613,HD 39091,b,1,2151.00000000,85.00000000,-85.00000000,0,3.380000,0.220000,-0.220000,0,0.640500,0.007200,-0.007200,0,,,,,10.27000,0.84000,-0.84000,0,,,,,,,,,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124,18.21,0.15,-0.15,0,5.650,,0,V (Johnson),5.514,,0,5950.00,44.00,-44.00,0,1.10,,,0,,,,,2014-07-23,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_39091_b/,4.10,G1 V,,0,5.650,,0
614,HD 40307,b,5,4.31230000,0.00110000,-0.00120000,0,0.046800,0.002400,-0.002300,0,0.200000,0.140000,-0.160000,0,,,,,0.01260,0.00250,-0.00220,0,,,,,,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.170,,0,V (Johnson),,,,4956.00,50.00,-50.00,0,0.77,0.05,-0.05,0,,,,,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_40307_b/,5.30,K3 V,,0,7.170,,0
615,HD 40307,c,5,9.61840000,0.00500000,-0.00490000,0,0.079900,0.004000,-0.004000,0,0.060000,0.110000,-0.060000,0,,,,,0.02080,0.00350,-0.00310,0,,,,,,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.170,,0,V (Johnson),,,,4956.00,50.00,-50.00,0,0.77,0.05,-0.05,0,,,,,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_40307_c/,5.30,K3 V,,0,7.170,,0
616,HD 40307,d,5,20.43200000,0.02200000,-0.02400000,0,0.132100,0.006600,-0.006600,0,0.070000,0.110000,-0.070000,0,,,,,0.02990,0.00530,-0.00470,0,,,,,,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.170,,0,V (Johnson),,,,4956.00,50.00,-50.00,0,0.77,0.05,-0.05,0,,,,,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_40307_d/,5.30,K3 V,,0,7.170,,0
617,HD 40307,f,5,51.76000000,0.50000000,-0.46000000,0,0.247000,0.011000,-0.014000,0,0.020000,0.200000,-0.020000,0,,,,,0.01640,0.00470,-0.00500,0,,,,,,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.170,,0,V (Johnson),,,,4956.00,50.00,-50.00,0,0.77,0.05,-0.05,0,,,,,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_40307_f/,5.30,K3 V,,0,7.170,,0
618,HD 40307,g,5,197.80000000,5.70000000,-9.00000000,0,0.600000,0.034000,-0.033000,0,0.290000,0.310000,-0.290000,0,,,,,0.02230,0.00820,-0.00820,0,,,,,,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.170,,0,V (Johnson),,,,4956.00,50.00,-50.00,0,0.77,0.05,-0.05,0,,,,,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_40307_g/,5.30,K3 V,,0,7.170,,0
619,HD 40956,b,1,578.60000000,3.30000000,-3.30000000,0,1.400000,0.100000,-0.100000,0,0.240000,0.050000,-0.050000,0,,,,0,2.70000,0.60000,-0.60000,0,,,,0,,,,0,06h06m39.16s,91.663147,+63d27m13.8s,63.453838,118.48,7.16,-7.16,0,6.423,0.010,0,V (Johnson),,,,4869.00,28.00,-28.00,0,2.00,0.08,-0.08,0,8.56,0.33,-0.33,0,2017-11-30,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_40956_b/,5.00,K0,,0,6.423,0.010,0
620,HD 40979,b,1,264.14999000,0.23000000,-0.23000000,0,0.850000,0.010000,-0.010000,0,0.250000,0.010000,-0.010000,0,,,,0,4.67000,0.34000,-0.34000,0,,,,0,,,,0,06h04m29.94s,91.124763,+44d15m37.6s,44.260445,33.30,0.90,-0.90,0,6.735,0.010,0,V (Johnson),6.578,,0,6165.00,25.00,-25.00,0,1.45,0.15,-0.15,0,1.21,0.02,-0.02,0,2018-04-26,4.67000,0.34000,-0.34000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_40979_b/,3.80,F8 V,,0,6.735,0.010,0
621,HD 41004 A,b,1,963.00000000,38.00000000,-38.00000000,0,,,,,0.740000,0.200000,-0.200000,0,,,,,2.54000,0.74000,-0.74000,0,,,,,,,,,05h59m49.65s,89.956871,-48d14m22.9s,-48.239693,43.03,1.81,-1.98,0,8.650,,0,V (Johnson),8.334,,0,5010.00,,,0,0.70,,,0,,,,,2014-12-03,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_41004_a_b/,5.15,K1/K2 V,,0,8.650,,0
622,HD 41004 B,b,1,1.32830000,0.00001200,-0.00001200,0,,,,,0.081000,0.012000,-0.012000,0,,,,,18.37000,0.22000,-0.22000,0,,,,,,,,,05h59m49.65s,89.956886,-48d14m23.4s,-48.239841,43.03,1.81,-1.98,0,,,,,,,,,,,,0.40,,,0,,,,,2014-12-03,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_41004_b_b/,6.20,M2 V,,0,,,
623,HD 4113,b,1,526.62000000,0.30000000,-0.30000000,0,1.280000,,,0,0.903000,0.005000,-0.005000,0,,,,,1.56000,0.04000,-0.04000,0,,,,,,,,,00h43m12.60s,10.802486,-37d58m57.5s,-37.982632,44.05,1.84,-2.01,0,7.881,0.012,0,V (Johnson),7.667,,0,5688.00,26.00,-26.00,0,0.99,,,0,,,,,2014-12-03,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_4113_b/,4.50,G5,,0,7.881,0.012,0
624,HD 42012,b,1,857.50000000,6.20000000,-6.30000000,0,1.670000,0.050000,-0.060000,0,0.200000,,,1,,,,,1.60000,0.10000,-0.10000,0,,,,,,,,,06h09m56.47s,92.485275,+34d08m07.1s,34.135300,37.10,1.20,-1.20,0,8.440,,0,V (Johnson),,,,5405.00,45.00,-45.00,0,0.83,0.08,-0.08,0,0.82,0.08,-0.08,0,2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_42012_b/,5.00,K0,,0,8.440,,0
625,HD 4203,b,2,431.88000000,0.85000000,-0.85000000,0,1.170000,0.020000,-0.020000,0,0.520000,0.030000,-0.030000,0,,,,0,2.23000,0.21000,-0.21000,0,,,,0,,,,0,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,77.82,7.00,-8.53,0,8.687,0.017,0,V (Johnson),8.609,,0,5596.00,20.00,-20.00,0,1.25,0.16,-0.16,0,1.42,0.05,-0.05,0,2018-04-26,2.23000,0.21000,-0.21000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_4203_b/,4.50,G5,,0,8.687,0.017,0
626,HD 4203,c,2,6700.00000000,4500.00000000,-4500.00000000,0,6.950000,1.930000,-0.560000,0,0.240000,0.130000,-0.130000,0,,,,,2.17000,0.52000,-0.52000,0,,,,,,,,,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,77.82,7.00,-8.53,0,8.687,0.017,0,V (Johnson),8.609,,0,5596.00,20.00,-20.00,0,1.25,0.16,-0.16,0,1.42,0.05,-0.05,0,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_4203_c/,4.50,G5,,0,8.687,0.017,0
627,HD 4208,b,1,828.00000000,8.10000000,-8.10000000,0,1.650000,0.030000,-0.030000,0,0.050000,0.040000,-0.040000,0,,,,0,0.82000,0.04000,-0.04000,0,,,,0,,,,0,00h44m26.65s,11.111043,-26d30m56.4s,-26.515680,32.70,1.12,-1.20,0,7.780,,0,V (Johnson),7.572,,0,5629.00,15.00,-15.00,0,0.90,0.04,-0.04,0,0.92,0.01,-0.01,0,2018-04-26,0.82000,0.04000,-0.04000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_4208_b/,4.50,G5 V,,0,7.780,,0
628,HD 42618,b,1,149.61000000,0.37000000,-0.34000000,0,0.554000,0.011000,-0.011000,0,0.190000,0.150000,-0.120000,0,,,,,0.04531,0.00787,-0.00755,0,,,,,,,,,06h12m00.57s,93.002357,+06d46m59.1s,6.783074,23.50,0.30,-0.30,0,6.839,,0,V (Johnson),6.646,,0,5727.00,60.00,-60.00,0,1.01,0.06,-0.06,0,1.00,0.09,-0.09,0,2016-10-27,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_42618_b/,4.40,G4 V,,0,6.839,,0
629,HD 4308,b,1,15.56000000,0.02000000,-0.02000000,0,0.120000,0.000000,0.000000,0,0.000000,,,0,,,,0,0.05000,0.00000,0.00000,0,,,,0,,,,0,00h44m39.27s,11.163615,-65d38m58.3s,-65.649521,21.85,0.26,-0.27,0,6.560,,0,V (Johnson),6.335,,0,5686.00,16.00,-16.00,0,0.93,0.10,-0.10,0,1.02,0.01,-0.01,0,2018-04-26,0.05000,0.00000,0.00000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_4308_b/,4.50,G5 V,,0,6.560,,0
630,HD 4313,b,1,356.00000000,2.60000000,-2.60000000,0,1.130000,0.020000,-0.020000,0,0.040000,0.040000,-0.040000,0,,,,0,2.99000,0.43000,-0.43000,0,,,,0,,,,0,00h45m40.36s,11.418160,+07d50m42.1s,7.845021,131.41,14.45,-18.52,0,7.822,0.013,0,V (Johnson),7.509,,0,5005.00,10.00,-10.00,0,2.47,0.52,-0.52,0,4.91,0.24,-0.24,0,2018-04-26,2.99000,0.43000,-0.43000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_4313_b/,4.50,G5,,0,7.822,0.013,0
631,HD 43197,b,1,327.80000000,1.20000000,-1.20000000,0,0.920000,0.010000,-0.020000,0,0.830000,0.050000,-0.010000,0,,,,,0.60000,0.12000,-0.04000,0,,,,,,,,,06h13m35.66s,93.398590,-29d53m50.2s,-29.897270,56.30,4.20,-3.60,0,8.980,,0,V (Johnson),8.712,,0,5508.00,46.00,-46.00,0,0.96,,,0,1.00,0.01,-0.01,0,2014-12-03,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_43197_b/,4.80,G8 V,,0,8.980,,0
632,HD 43691,b,1,36.96000000,0.02000000,-0.02000000,0,0.240000,,,0,0.140000,0.020000,-0.020000,0,,,,,2.49000,,,0,,,,,,,,,06h19m34.68s,94.894485,+41d05m32.3s,41.092304,93.20,9.09,-11.30,0,8.030,,0,V (Johnson),7.872,,0,6200.00,40.00,-40.00,0,1.38,0.05,-0.05,0,,,,,2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_43691_b/,4.00,G0 IV,,0,8.030,,0
633,HD 44219,b,1,472.30000000,6.30000000,-5.00000000,0,1.190000,0.020000,-0.020000,0,0.610000,0.070000,-0.090000,0,,,,,0.58000,0.06000,-0.04000,0,,,,,,,,,06h20m14.32s,95.059677,-10d43m30.0s,-10.725009,50.40,2.10,-1.90,0,7.690,,0,V (Johnson),7.492,,0,5752.00,16.00,-16.00,0,1.00,,,0,1.32,0.07,-0.07,0,2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_44219_b/,4.20,G2 V,,0,7.690,,0
634,HD 45350,b,1,963.60000000,3.40000000,-3.40000000,0,1.920000,0.070000,-0.070000,0,0.778000,0.009000,-0.009000,0,,,,,1.79000,0.14000,-0.14000,0,,,,,,,,,06h28m45.71s,97.190460,+38d57m46.7s,38.962963,48.95,2.24,-2.47,0,7.885,0.012,0,V (Johnson),,,,5616.00,,,0,1.02,,,0,,,,,2014-09-18,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_45350_b/,4.50,G5 V,,0,7.885,0.012,0
635,HD 45364,b,2,226.93000000,0.37000000,-0.37000000,0,0.681300,,,0,0.168400,0.019000,-0.019000,0,,,,,0.18720,,,0,,,,,,,,,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,32.58,0.84,-0.88,0,8.062,0.012,0,V (Johnson),,,,5434.00,20.00,-20.00,0,0.82,0.05,-0.05,0,,,,0,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_45364_b/,5.00,K0 V,,0,8.062,0.012,0
636,HD 45364,c,2,342.85000000,0.28000000,-0.28000000,0,0.897200,,,0,0.097400,0.012000,-0.012000,0,,,,,0.65790,,,0,,,,,,,,,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,32.58,0.84,-0.88,0,8.062,0.012,0,V (Johnson),,,,5434.00,20.00,-20.00,0,0.82,0.05,-0.05,0,,,,0,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_45364_c/,5.00,K0 V,,0,8.062,0.012,0
637,HD 45652,b,1,43.60000000,0.20000000,-0.20000000,0,0.230000,0.000000,0.000000,0,0.380000,0.060000,-0.060000,0,,,,0,0.35000,0.05000,-0.05000,0,,,,0,,,,0,06h29m13.19s,97.304962,+10d56m02.0s,10.933891,36.14,1.61,-1.77,0,8.127,0.017,0,V (Johnson),7.856,,0,5232.00,48.00,-48.00,0,0.54,0.09,-0.09,0,0.96,0.02,-0.02,0,2018-04-26,0.35000,0.05000,-0.05000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_45652_b/,4.90,G8-K0,,0,8.127,0.017,0
638,HD 46375,b,1,3.02357300,0.00006500,-0.00006500,0,0.039800,0.002300,-0.002300,0,0.063000,0.026000,-0.026000,0,,,,,0.22600,0.01900,-0.01900,0,,,,,,,,,06h33m12.62s,98.302597,+05d27m46.5s,5.462925,33.41,1.15,-1.24,0,7.912,0.015,0,V (Johnson),,,,5285.00,,,0,0.92,,,0,,,,,2014-07-23,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_46375_b/,5.10,K1 IV-V,,0,7.912,0.015,0
639,HD 47186,b,2,4.08450000,0.00020000,-0.00020000,0,0.050000,0.000000,0.000000,0,0.040000,0.020000,-0.020000,0,,,,0,0.07000,0.00000,0.00000,0,,,,0,,,,0,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.84,1.21,-1.29,0,7.626,0.010,0,V (Johnson),7.406,,0,5657.00,9.00,-9.00,0,0.96,0.05,-0.05,0,1.08,0.01,-0.01,0,2018-04-26,0.07000,0.00000,0.00000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_47186_b/,4.50,G5 V,,0,7.626,0.010,0
640,HD 47186,c,2,1353.60000000,57.10000000,-57.10000000,0,2.395000,,,0,0.249000,0.073000,-0.073000,0,,,,,0.35061,,,0,,,,,,,,,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.84,1.21,-1.29,0,7.626,0.010,0,V (Johnson),7.406,,0,5657.00,9.00,-9.00,0,0.96,0.05,-0.05,0,1.08,0.01,-0.01,0,2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_47186_c/,4.50,G5 V,,0,7.626,0.010,0
641,HD 4732,b,2,360.20000000,1.40000000,-1.40000000,0,1.190000,0.050000,-0.050000,0,0.130000,0.060000,-0.060000,0,,,,,2.37000,0.34000,-0.34000,0,,,,,,,,,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,56.50,2.99,-3.35,0,5.890,0.009,0,V (Johnson),,,,4959.00,25.00,-25.00,0,1.74,0.20,-0.14,0,5.40,0.40,-0.40,0,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_4732_b/,5.00,K0 IV,,0,5.890,0.009,0
642,HD 4732,c,2,2732.00000000,81.00000000,-81.00000000,0,4.600000,0.230000,-0.230000,0,0.230000,0.070000,-0.070000,0,,,,,2.37000,0.38000,-0.38000,0,,,,,,,,,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,56.50,2.99,-3.35,0,5.890,0.009,0,V (Johnson),,,,4959.00,25.00,-25.00,0,1.74,0.20,-0.14,0,5.40,0.40,-0.40,0,2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_4732_c/,5.00,K0 IV,,0,5.890,0.009,0
643,HD 47536,b,1,712.13000000,0.31000000,-0.31000000,0,1.930000,0.320000,-0.320000,0,0.200000,0.080000,-0.080000,0,,,,,7.32000,2.36000,-2.36000,0,,,,,,,,,06h37m47.62s,99.448410,-32d20m23.0s,-32.339733,121.36,7.72,-8.85,0,5.250,,0,V (Johnson),4.938,,0,4424.00,16.00,-16.00,0,0.91,0.03,-0.03,0,22.39,1.05,-1.05,0,2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_47536_b/,5.10,K1 III,,0,5.250,,0
644,HD 48265,b,1,780.30000000,4.60000000,-4.60000000,0,1.810000,0.070000,-0.070000,0,0.080000,0.050000,-0.050000,0,,,,,1.47000,0.12000,-0.12000,0,,,,,,,,,06h40m01.73s,100.007195,-48d32m31.0s,-48.541954,85.40,4.23,-4.23,0,8.050,,0,V (Johnson),7.834,,0,5650.00,100.00,-100.00,0,1.28,0.05,-0.05,0,2.05,0.05,-0.05,0,2016-11-10,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_48265_b/,4.50,G5 IV/V,,0,8.050,,0
645,HD 49674,b,1,4.94737000,0.00098000,-0.00098000,0,0.060000,0.000000,0.000000,0,0.090000,0.090000,-0.090000,0,,,,0,0.10000,0.01000,-0.01000,0,,,,0,,,,0,06h51m30.52s,102.877151,+40d52m03.9s,40.867756,40.73,1.81,-1.98,0,8.100,,0,V (Johnson),7.873,,0,5602.00,21.00,-21.00,0,1.03,0.11,-0.11,0,1.02,0.01,-0.01,0,2018-04-26,0.10000,0.01000,-0.01000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_49674_b/,4.50,G5 V,,0,8.100,,0
646,HD 50499,b,1,2482.70000000,110.00000000,-110.00000000,0,3.860000,0.600000,-0.600000,0,0.230000,0.140000,-0.140000,0,,,,,1.71000,0.20000,-0.20000,0,,,,,,,,,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,47.26,1.47,-1.57,0,7.195,0.010,0,V (Johnson),7.026,,0,,,,,1.24,0.10,-0.10,0,,,,,2014-12-17,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_50499_b/,4.10,G0/2 V,,0,7.195,0.010,0
647,HD 50554,b,1,1293.00000000,37.00000000,-37.00000000,0,2.353000,0.045200,-0.045200,0,0.501000,0.030000,-0.030000,0,,,,,4.95400,0.38900,-0.38900,0,,,,,,,,,06h54m42.82s,103.678436,+24d14m44.0s,24.245558,31.03,0.94,-1.00,0,6.840,0.020,0,V (Johnson),6.672,,0,5987.00,70.00,-70.00,0,1.04,0.01,-0.01,0,1.02,0.02,-0.02,0,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,http://exoplanet.eu/catalog/hd_50554_b/,3.80,F8,,0,6.840,0.020,0
648,HD 52265,b,1,119.29000000,0.08600000,-0.08600000,0,0.500000,0.010000,-0.010000,0,0.320000,0.060000,-0.060000,0,,,,0,1.16000,0.10000,-0.10000,0,,,,0,,,,0,07h00m18.04s,105.075150,-05d22m01.8s,-5.367162,28.07,0.65,-0.68,0,6.300,,0,V (Johnson),6.123,,0,6117.00,10.00,-10.00,0,1.32,0.07,-0.07,0,1.32,0.02,-0.02,0,2018-04-26,1.16000,0.10000,-0.10000,0,,,,0,,,,0,,,,0,,,,0,,,,0,http://exoplanet.eu/catalog/hd_52265_b/,4.00,G0 V,,0,6.300,,0
